id,nombreCliente,usuarioCliente,estado,totalcuenta,fechahora
1,Valeria,valeria_1,creada,20.0,2024-11-01 06:42:00
2,Andrea,andreamg,creada,50.0,2024-10-31 15:11:00
3,Carlos,carlito01,creada,25.0,2024-11-01 06:40:00
4,Daniel,dannyg123,creada,40.0,2024-10-31 21:53:00
5,Daniel,dannyg123,creada,20.0,2024-11-01 01:43:00
6,Andrea,andreamg,creada,50.0,2024-10-31 11:11:00
7,Camilo,camip1234,creada,20.0,2024-11-01 06:25:00
8,Ana,anagarcia,creada,60.0,2024-10-31 13:58:00
9,Andrea,andreamg,creada,25.0,2024-10-31 12:52:00
10,Valeria,valeria_1,creada,50.0,2024-10-31 19:43:00
11,Andrea,andreamg,creada,20.0,2024-10-31 20:45:00
12,Daniel,dannyg123,creada,20.0,2024-11-01 01:15:00
13,Ana,anagarcia,creada,20.0,2024-10-31 13:39:00
14,Camilo,camip1234,creada,20.0,2024-10-31 17:28:00
15,Camilo,camip1234,creada,20.0,2024-11-01 08:05:00
16,Ana,anagarcia,creada,25.0,2024-11-01 08:51:00
17,Ana,anagarcia,creada,20.0,2024-11-01 07:56:00
18,Andrea,andreamg,creada,40.0,2024-10-31 22:40:00
19,Camila,cami_sm23,creada,20.0,2024-11-01 00:55:00
20,Carlos,carlito01,creada,25.0,2024-11-01 01:33:00
21,Valeria,valeria_1,creada,20.0,2024-10-31 14:45:00
22,Ana,anagarcia,creada,40.0,2024-10-31 14:22:00
23,Andrea,andreamg,creada,50.0,2024-10-31 23:23:00
24,Camilo,camip1234,creada,25.0,2024-10-31 09:01:00
25,Daniel,dannyg123,creada,20.0,2024-10-31 10:16:00
26,Daniel,dannyg123,creada,20.0,2024-10-31 14:33:00
27,Carlos,carlito01,creada,50.0,2024-10-31 12:55:00
28,Ana,anagarcia,creada,20.0,2024-10-31 19:55:00
29,Valeria,valeria_1,creada,20.0,2024-11-01 06:15:00
30,Daniel,dannyg123,creada,20.0,2024-10-31 19:16:00
31,Camila,cami_sm23,creada,40.0,2024-10-31 20:15:00
32,Carlos,carlito01,creada,25.0,2024-10-31 21:32:00
33,Valeria,valeria_1,creada,60.0,2024-10-31 18:52:00
34,Valeria,valeria_1,creada,60.0,2024-11-01 06:08:00
35,Daniel,dannyg123,creada,20.0,2024-10-31 11:39:00
36,Ana,anagarcia,creada,60.0,2024-10-31 17:38:00
37,Carlos,carlito01,creada,20.0,2024-10-31 14:55:00
38,Valeria,valeria_1,creada,20.0,2024-11-01 02:33:00
39,Ana,anagarcia,creada,50.0,2024-10-31 13:02:00
40,Camilo,camip1234,creada,60.0,2024-10-31 19:08:00
41,Camilo,camip1234,creada,20.0,2024-11-01 08:04:00
42,Camilo,camip1234,creada,20.0,2024-11-01 06:28:00
43,Carlos,carlito01,creada,20.0,2024-10-31 09:58:00
44,Camilo,camip1234,creada,20.0,2024-10-31 16:10:00
45,Ana,anagarcia,creada,20.0,2024-11-01 08:34:00
46,Carlos,carlito01,creada,50.0,2024-11-01 08:24:00
47,Valeria,valeria_1,creada,25.0,2024-10-31 17:30:00
48,Carlos,carlito01,creada,60.0,2024-10-31 18:18:00
49,Andrea,andreamg,creada,40.0,2024-11-01 06:36:00
50,Camilo,camip1234,creada,25.0,2024-11-01 01:41:00
51,Camilo,camip1234,creada,20.0,2024-11-01 02:53:00
52,Andrea,andreamg,creada,50.0,2024-10-31 19:23:00
53,Valeria,valeria_1,creada,25.0,2024-10-31 22:44:00
54,Valeria,valeria_1,creada,20.0,2024-10-31 19:49:00
55,Andrea,andreamg,creada,20.0,2024-11-01 00:53:00
56,Andrea,andreamg,creada,50.0,2024-11-01 06:20:00
57,Carlos,carlito01,creada,40.0,2024-10-31 19:25:00
58,Valeria,valeria_1,creada,60.0,2024-10-31 17:26:00
59,Camila,cami_sm23,creada,20.0,2024-11-01 00:18:00
60,Andrea,andreamg,creada,20.0,2024-11-01 01:38:00
61,Carlos,carlito01,creada,20.0,2024-11-01 07:56:00
62,Andrea,andreamg,creada,20.0,2024-11-01 05:05:00
63,Carlos,carlito01,creada,60.0,2024-10-31 17:04:00
64,Carlos,carlito01,creada,25.0,2024-11-01 07:35:00
65,Ana,anagarcia,creada,50.0,2024-10-31 17:09:00
